user_id_before,user_id_after,time_before,time_after,retweets_before,retwets_after,favorites_before,favorites_after,hashtags_before,hashtags_after
260839005,4851231954,Mon Oct 16 12:57:50 +0000 2017,Mon Jan 08 17:32:04 +0000 2018,0,0,1,0,['metoo'],['metoo']
82285768,809785661855125504,Mon Jun 12 16:03:49 +0000 2017,Thu Nov 09 01:43:13 +0000 2017,0,0,1,0,['theresistance'],['theresistance']
406670846,916028340,Wed Mar 29 14:38:01 +0000 2017,Thu Nov 09 04:17:04 +0000 2017,0,0,0,0,['maga'],['maga']
2798672998,2798672998,Wed Oct 11 00:14:51 +0000 2017,Tue Jan 09 03:23:52 +0000 2018,7,9,73,23,['godawgs'],['godawgs']
1868357690,249634320,Sun Jan 15 15:04:08 +0000 2017,Sun Jan 21 09:52:09 +0000 2018,0,0,0,1,['spiral'],['spiral']
43828646,167066499,Wed Apr 19 17:34:17 +0000 2017,Thu Nov 09 20:23:44 +0000 2017,0,1,0,11,['peace'],['peace']
132448425,3158435210,Sun Mar 12 13:12:48 +0000 2017,Tue Nov 07 02:08:47 +0000 2017,0,0,1,0,['27'],['27']
24074614,721280020199665664,Tue Oct 03 07:26:48 +0000 2017,Mon Nov 27 09:57:16 +0000 2017,1,0,2,1,['r4today'],['r4today']
721280020199665664,721280020199665664,Thu Nov 02 20:43:27 +0000 2017,Tue Nov 07 13:55:36 +0000 2017,1,3,3,7,['brexit'],['brexit']
45356317,824987399805480962,Tue Jan 24 07:41:09 +0000 2017,Sat Nov 25 16:15:20 +0000 2017,5,0,3,0,"['missuniverse', 'philippines']","['missuniverse', 'philippines']"
377533827,377533827,Sat May 27 18:48:31 +0000 2017,Wed Mar 14 21:13:22 +0000 2018,0,0,0,0,['cfc'],['cfc']
824256545634578433,377533827,Mon Feb 20 07:25:54 +0000 2017,Sun Jan 28 10:35:56 +0000 2018,0,0,1,0,['iplauction'],['iplauction']
3065989265,3065989265,Thu Nov 02 00:52:06 +0000 2017,Thu Feb 01 01:29:08 +0000 2018,0,1,2,2,"['riverdale', 'chocklitshoppe']","['riverdale', 'chocklitshoppe']"
69206328,244366882,Fri Jun 16 05:33:53 +0000 2017,Wed Mar 14 11:42:12 +0000 2018,0,0,1,16,['mafs'],['mafs']
19069438,244366882,Sat Jan 28 09:39:05 +0000 2017,Mon Jan 22 22:53:54 +0000 2018,0,0,2,1,['ausopen'],['ausopen']
126768118,263254141,Sun Jun 11 22:41:08 +0000 2017,Fri Nov 17 00:43:17 +0000 2017,1,0,7,0,['letsgopens'],['letsgopens']
16320622,16320622,Sun Nov 05 14:09:04 +0000 2017,Wed Nov 22 23:39:51 +0000 2017,3,1,26,0,['yhmcc'],['yhmcc']
16246931,16320622,Wed Aug 23 13:39:26 +0000 2017,Tue Nov 07 16:20:58 +0000 2017,0,0,0,0,['fail'],['fail']
77008300,761729165175300096,Tue Oct 10 17:36:23 +0000 2017,Tue Mar 13 18:00:43 +0000 2018,1,7,1,24,['yehundinonkibaathai'],['yehundinonkibaathai']
761729165175300096,761729165175300096,Fri Sep 22 18:23:08 +0000 2017,Tue Mar 13 16:26:08 +0000 2018,0,1,0,11,['kundalibhagya'],['kundalibhagya']
809785661855125504,3267792446,Fri May 26 22:02:26 +0000 2017,Sat Mar 03 13:17:26 +0000 2018,2,4,4,8,['trumprussia'],['trumprussia']
302584185,19754069,Tue Oct 31 18:31:18 +0000 2017,Sun Dec 31 18:30:42 +0000 2017,0,0,0,0,['flyeaglesfly'],['flyeaglesfly']
3336006196,801780717457965057,Wed Oct 18 21:41:02 +0000 2017,Sun Mar 04 21:25:46 +0000 2018,0,0,2,6,['actuallyautistic'],['actuallyautistic']
1408155632,197582407,Sat Apr 22 21:18:53 +0000 2017,Sat Jan 13 21:59:23 +0000 2018,2,0,3,1,['throughthekeyhole'],['throughthekeyhole']
3065989265,570202211,Thu Nov 02 00:20:03 +0000 2017,Thu Mar 15 02:28:06 +0000 2018,1,1,1,7,['riverdale'],['riverdale']
1458886590,570202211,Tue Jun 27 16:36:52 +0000 2017,Tue Nov 07 02:49:00 +0000 2017,0,9,0,56,['12'],['12']
187665071,187665071,Wed Oct 25 21:10:43 +0000 2017,Thu Nov 23 02:12:09 +0000 2017,0,5,3,52,['sixers'],['sixers']
142324843,3340908196,Sun Jan 29 11:12:05 +0000 2017,Sun Jan 07 07:35:47 +0000 2018,0,0,2,1,['tweetliketrump'],['tweetliketrump']
20167075,15641447,Sat Aug 26 19:59:39 +0000 2017,Mon Dec 18 03:21:46 +0000 2017,0,0,0,2,['thecrown'],['thecrown']
755477602501025792,20737589,Sun Nov 05 04:00:27 +0000 2017,Sun Mar 11 04:41:04 +0000 2018,1,1,1,5,['snl'],['snl']
1586507052,20737589,Tue Dec 27 22:12:23 +0000 2016,Wed Jan 31 04:55:43 +0000 2018,0,1,0,6,['same'],['same']
129552720,20737589,Tue Feb 28 01:44:02 +0000 2017,Tue Jan 02 01:18:55 +0000 2018,0,0,3,4,['thebachelor'],['thebachelor']
133876178,823450616,Tue Sep 26 21:53:55 +0000 2017,Sun Feb 11 14:00:09 +0000 2018,0,0,2,0,['avfc'],['avfc']
54289359,823450616,Thu Nov 24 23:07:44 +0000 2016,Thu Feb 08 23:21:45 +0000 2018,0,2,0,2,['bbcqt'],['bbcqt']
29270273,138168339,Sun Oct 01 17:14:02 +0000 2017,Tue Dec 26 23:41:01 +0000 2017,0,23,4,99,['vaccines'],['vaccines']
3243829747,138168339,Wed Nov 16 22:10:33 +0000 2016,Wed Nov 29 06:25:38 +0000 2017,3,33,4,104,['resistance'],['resistance']
105236888,138168339,Wed Mar 08 01:47:37 +0000 2017,Wed Nov 22 02:59:36 +0000 2017,1,2,2,23,['thisisus'],['thisisus']
2510184612,71645414,Thu Apr 06 07:55:42 +0000 2017,Fri Mar 09 16:51:12 +0000 2018,0,1,4,2,['bless'],['bless']
374374200,374374200,Mon Sep 25 07:58:27 +0000 2017,Wed Nov 08 07:29:00 +0000 2017,0,0,1,1,['retaillife'],['retaillife']
2768297943,374374200,Tue Sep 19 19:59:42 +0000 2017,Tue Nov 07 17:39:47 +0000 2017,0,0,1,1,['breathe'],['breathe']
901843525,4607610076,Wed Oct 18 07:28:18 +0000 2017,Wed Dec 20 11:14:23 +0000 2017,11,9,11,11,['tigerzindahai'],['tigerzindahai']
507736114,164723233,Wed Oct 11 04:14:07 +0000 2017,Tue Nov 28 03:36:30 +0000 2017,1,0,2,2,['tennessee'],['tennessee']
18745011,39048899,Tue May 16 05:04:33 +0000 2017,Tue Nov 14 01:10:32 +0000 2017,1,1,1,2,['supergirl'],['supergirl']
779627606635323392,129021239,Thu Nov 17 18:22:52 +0000 2016,Sun Jan 21 11:52:07 +0000 2018,0,4,1,16,['mkdons'],['mkdons']
755477602501025792,3254178738,Sun Oct 08 14:36:59 +0000 2017,Wed Nov 08 19:02:29 +0000 2017,0,0,1,1,['gop'],['gop']
289092298,152184083,Sun Jan 08 19:14:02 +0000 2017,Sun Jan 14 18:28:27 +0000 2018,0,1,0,17,['nflplayoffs'],['nflplayoffs']
2205497300,2205497300,Wed Nov 23 15:10:32 +0000 2016,Wed Nov 22 14:50:07 +0000 2017,0,0,3,1,['thanksgiving'],['thanksgiving']
850078002532634624,2890103754,Tue Sep 26 12:37:23 +0000 2017,Thu Nov 16 06:15:46 +0000 2017,0,0,0,0,['alabama'],['alabama']
259467674,842493042754043910,Mon Oct 31 03:17:31 +0000 2016,Wed Mar 14 20:40:16 +0000 2018,0,1,2,0,['wth'],['wth']
81618240,123612595,Sat Sep 30 13:07:56 +0000 2017,Wed Feb 21 22:04:54 +0000 2018,0,0,0,0,['mufc'],['mufc']
20974863,2873809404,Wed Feb 22 05:11:46 +0000 2017,Sat Jan 13 05:20:26 +0000 2018,0,0,0,6,['agentsofshield'],['agentsofshield']
23191777,295098122,Sun Sep 25 21:37:30 +0000 2016,Sat Dec 23 15:44:39 +0000 2017,0,0,0,3,['vanhelsing'],['vanhelsing']
1966131036,45356317,Thu Oct 05 21:31:49 +0000 2017,Tue Nov 14 06:36:25 +0000 2017,221,0,399,2,['worldcup2018'],['worldcup2018']
48661364,29049770,Tue Oct 03 02:52:25 +0000 2017,Sat Jan 13 13:13:40 +0000 2018,4,0,4,0,['enoughisenough'],['enoughisenough']
589049085,25985333,Thu Oct 19 10:42:55 +0000 2017,Wed Nov 22 17:13:29 +0000 2017,16,4,37,14,['sidebar'],['sidebar']
14957975,711723351610368000,Wed Aug 23 16:09:47 +0000 2017,Thu Nov 30 04:22:27 +0000 2017,0,0,2,0,['25thamendment'],['25thamendment']
456299130,456299130,Mon Nov 06 23:08:10 +0000 2017,Sun Jan 07 03:15:35 +0000 2018,0,0,0,0,"['sports', 'sportsnews']","['sports', 'sportsnews']"
110551391,2475368538,Sat Oct 28 08:00:43 +0000 2017,Thu Nov 23 23:03:37 +0000 2017,0,0,0,3,['ashes'],['ashes']
111385677,15440580,Tue Oct 24 14:21:38 +0000 2017,Tue Mar 13 15:42:44 +0000 2018,3,2,1,3,['rubhusocial'],['rubhusocial']
2905099385,375183837,Sun Nov 06 23:16:27 +0000 2016,Mon Jan 15 15:20:21 +0000 2018,1,0,1,0,['sociopath'],['sociopath']
534796292,375183837,Mon May 08 20:34:22 +0000 2017,Tue Nov 28 00:19:50 +0000 2017,0,0,0,0,['republicans'],['republicans']
2229208368,21953248,Sun Nov 05 01:57:21 +0000 2017,Sat Dec 23 16:07:26 +0000 2017,0,2,1,22,['dateline'],['dateline']
17672825,3861345322,Wed Aug 23 05:32:58 +0000 2017,Tue Feb 13 14:00:36 +0000 2018,124,0,170,5,['neveragain'],['neveragain']
786921759962464257,104872280,Tue Jun 06 08:45:43 +0000 2017,Wed Feb 28 07:48:32 +0000 2018,0,4,0,9,['citicbs'],['citicbs']
374007808,462021312,Sun Jun 04 19:19:26 +0000 2017,Thu Dec 28 21:33:13 +0000 2017,0,5,5,146,['proud'],['proud']
13283182,789969215650422784,Thu Apr 20 03:25:07 +0000 2017,Tue Feb 20 04:24:32 +0000 2018,0,173,0,416,['trumpcolluded'],['trumpcolluded']
1969446524,789969215650422784,Wed Jul 05 19:00:44 +0000 2017,Tue Nov 21 02:57:26 +0000 2017,0,29,0,65,['msm'],['msm']
3647219533,420990741,Thu Aug 31 19:30:32 +0000 2017,Mon Feb 19 08:37:24 +0000 2018,0,0,2,0,['np'],['np']
1397575200,420990741,Wed May 24 20:13:18 +0000 2017,Sat Feb 17 16:37:23 +0000 2018,0,0,0,0,['mourinho'],['mourinho']
777553445611974656,420990741,Wed Mar 01 15:48:12 +0000 2017,Wed Feb 14 16:58:48 +0000 2018,0,0,0,0,['ashwednesday'],['ashwednesday']
160211300,420990741,Fri Dec 30 07:11:51 +0000 2016,Tue Jan 30 16:04:25 +0000 2018,17,0,1,0,['matiangi'],['matiangi']
785848908,420990741,Mon Jun 05 23:49:11 +0000 2017,Tue Jan 16 08:15:56 +0000 2018,0,0,0,0,['familyfeud'],['familyfeud']
261837245,420990741,Sun May 07 16:15:33 +0000 2017,Sat Dec 02 19:12:20 +0000 2017,2,0,1,0,['arsmun'],['arsmun']
420990741,420990741,Fri Jun 30 13:04:23 +0000 2017,Fri Nov 17 10:58:40 +0000 2017,0,0,0,0,['nw'],['nw']
43828646,75343811,Sat Jun 24 13:46:38 +0000 2017,Tue Nov 07 15:12:35 +0000 2017,0,0,0,0,['1'],['1']
24074614,24074614,Tue Oct 24 12:21:45 +0000 2017,Thu Nov 30 13:35:52 +0000 2017,5,4,17,12,['wato'],['wato']
24074614,24074614,Sat Oct 28 12:47:50 +0000 2017,Sat Nov 11 14:29:33 +0000 2017,1,4,11,8,['bbcaq'],['bbcaq']
206210042,139956991,Sun Aug 13 17:18:06 +0000 2017,Mon Feb 19 05:57:46 +0000 2018,0,11,6,56,['exhausted'],['exhausted']
107357968,24793321,Sun Oct 22 20:19:32 +0000 2017,Mon Mar 05 01:28:38 +0000 2018,0,2,1,52,['oscars'],['oscars']
224911283,224911283,Thu Oct 26 18:38:09 +0000 2017,Mon Jan 29 21:35:37 +0000 2018,2,0,2,1,['rochmn'],['rochmn']
137380816,19905698,Mon Nov 06 13:16:20 +0000 2017,Sat Mar 03 11:32:51 +0000 2018,0,0,0,1,['fb'],['fb']
507736114,1617752910,Sun Nov 05 02:09:42 +0000 2017,Sun Mar 04 01:36:42 +0000 2018,0,0,1,2,['lsu'],['lsu']
2798672998,1617752910,Sat Oct 28 21:08:10 +0000 2017,Sun Dec 03 00:30:42 +0000 2017,5,0,40,1,['uga'],['uga']
1617752910,1617752910,Sun Sep 03 03:05:57 +0000 2017,Sat Nov 11 18:27:41 +0000 2017,0,0,3,3,['oatmealraisincookie'],['oatmealraisincookie']
23098409,23098409,Sun Nov 05 23:21:08 +0000 2017,Wed Mar 07 20:25:14 +0000 2018,10,62,6,97,['manbaby'],['manbaby']
69354861,23098409,Fri Nov 03 17:30:22 +0000 2017,Fri Dec 01 01:51:34 +0000 2017,0,90,2,135,['taxbill'],['taxbill']
